# RAW. Listed fintech, payments, exchanges and market-data market data. S&P Capital IQ Pro screen,
# currency USD, as supplied by Daniil on 30-Aug-2026. 85 names, rows 9 to 93 of his sheet.
# DO NOT EDIT THIS FILE. Derived working copies live in data/peers-fintech.csv.
#
# Same two conventions as the software pull of the same date:
#   revenue_growth_cagr_cy0_cy2_pct is the CY+0 to CY+2 COMPOUND ANNUAL GROWTH RATE of revenue in
#   REPORTED CURRENCY, not one-year forward growth.
#   revenue_local_cy0 and revenue_local_cy2 are in REPORTED CURRENCY, not USD, which is why the
#   Indian, Japanese and Brazilian names show figures far larger than their USD market caps. They
#   are the inputs to the CAGR and must never be compared across companies.
#
# BALANCE-SHEET NAMES ARE IN THIS FILE AND THEIR EV/REVENUE MULTIPLE MUST NOT BE USED.
# SoFi, Upstart, Enova, Affirm, Klarna, Nu Holdings, Inter & Co, Zip Co and Happen (LendingClub)
# are lenders or deposit-takers. They are priced on price to book and P/E in data/peers-lending.csv,
# and balance_sheet_compatible() keeps them off the revenue lane. The screen still returns an
# EV/revenue figure for them and it is meaningless: enterprise value adds back the debt that IS the
# product. XP Inc. is the clearest proof in this file, returning a NEGATIVE enterprise value of
# -$16.9bn and therefore a negative multiple.
#
# A dash on the screen means the field returned nothing and is left blank here, never zero.
company_name,exchange_ticker,market_cap_musd,net_debt_musd,nci_musd,invest_assoc_musd,eqv_ev_bridge_musd,enterprise_value_musd,revenue_ntm_musd,gross_profit_musd,ev_ntm_revenue_x,ev_ntm_gp_x,revenue_local_cy0,revenue_local_cy2,revenue_growth_cagr_cy0_cy2_pct
Visa Inc.,NYSE:V,681083,10066,0,0,10066,691149,49412,39529,14.0,17.5,41180,51940,12
Mastercard Incorporated,NYSE:MA,508638,12891,-5,282,12604,521242,39425,19417,13.2,26.8,32708,41968,13
American Express Company,NYSE:AXP,226904,13340,0,0,13340,240244,83076,10065,2.9,23.9,72137,86772,10
"PayPal Holdings, Inc.",NASDAQ:PYPL,52654,2965,0,193,2772,55426,35404,16413,1.6,3.4,33296,36208,4
"Block, Inc.",NYSE:XYZ,49361,433,-36,0,397,49759,27247,11559,1.8,4.3,24283,28948,9
Fidelity National Information Services,NYSE:FIS,21319,20512,3,13,20502,41821,13953,5169,3.0,8.1,10601,14258,16
"Fiserv, Inc.",NASDAQ:FISV,27960,27407,22,1031,26398,54358,19900,12175,2.7,4.5,19806,20339,1
Global Payments Inc.,NYSE:GPN,24739,18147,859,0,19006,43745,12694,9872,3.4,4.4,9446,13009,17
The Western Union Company,NYSE:WU,2277,1777,0,0,1777,4054,4279,1601,0.9,2.5,4088,4362,3
"Shift4 Payments, Inc.",NYSE:FOUR,3785,4211,123,0,4334,8119,5471,3793,1.5,2.1,4195,5853,18
"Toast, Inc.",NYSE:TOST,21178,-1713,0,0,-1713,19465,8133,2215,2.4,8.8,6134,8844,20
"BILL Holdings, Inc.",NYSE:BILL,4078,-40,0,0,-40,4038,1809,1517,2.2,2.7,1537,1915,12
DLocal Limited,NASDAQ:DLO,4452,-807,0,0,-807,3645,1823,689,2.0,5.3,1054,2031,39
