# TICKERS AS SUPPLIED, logistics/services/consumer/payments pull, 30-Aug-2026.
# This morning the same pull arrived with the ticker column hidden and all 123 tickers were
# recovered by hand. This file is the ground truth against which those recoveries are checked.
company_name,exchange_ticker
"RB Global, Inc.",NYSE:RBA
"Copart, Inc.",NASDAQGS:CPRT
"Xometry, Inc.",NASDAQGS:XMTR
"GigaCloud Technology Inc.",NASDAQGM:GCT
"Freightos Limited",NASDAQCM:CRGO
"Auction Technology Group plc",LSE:ATG
"AUTO1 Group SE",XTRA:AG1
"Kanzhun Limited",NASDAQGS:BZ
"ZipRecruiter, Inc.",NYSE:ZIP
"Airtasker Limited",ASX:ART
"Freelancer Limited",ASX:FLN
"hipages Group Holdings Limited",ASX:HPG
"IndiaMART InterMESH Limited",NSEI:INDIAMART
"MonotaRO Co., Ltd.",TSE:3064
"Visional, Inc.",TSE:4194
"Infomart Corporation",TSE:2492
"Bengo4.com,Inc.",TSE:6027
"Medley, Inc.",TSE:4480
"SMS Co., Ltd.",TSE:2175
"DIP Corporation",TSE:2379
"en Inc.",TSE:4849
"LegalZoom.com, Inc.",NASDAQGS:LZ
"DHI Group, Inc.",NYSE:DHX
"Ocado Group plc",LSE:OCDO
"Oisix ra daichi Inc.",TSE:3182
"HelloFresh SE",XTRA:HFG
"Delhivery Limited",NSEI:DELHIVERY
"InPost S.A.",ENXTAM:INPST
"J&T Global Express Limited",SEHK:1519
"ZTO Express (Cayman) Inc.",NYSE:ZTO
"Full Truck Alliance Co. Ltd.",NYSE:YMM
"S.F. Holding Co., Ltd.",SZSE:002352
"United Parcel Service, Inc.",NYSE:UPS
"FedEx Corporation",NYSE:FDX
"XPO, Inc.",NYSE:XPO
"GXO Logistics, Inc.",NYSE:GXO
"RXO, Inc.",NYSE:RXO
"C.H. Robinson Worldwide, Inc.",NASDAQ:CHRW
"Expeditors International of Washington, Inc.",NYSE:EXPD
"Hub Group, Inc.",NASDAQ:HUBG
"Radiant Logistics, Inc.",NYSEAM:RLGT
"Americold Realty Trust, Inc.",NYSE:COLD
"Lineage, Inc.",NASDAQ:LINE
"Clarkson PLC",LSE:CKN
"Tritax Big Box REIT plc",LSE:BBOX
"Deutsche Post AG",XTRA:DHL
"ID Logistics Group SA",ENXTPA:IDL
"STEF SA",ENXTPA:STF
"PostNL N.V.",ENXTAM:PNL
"DSV A/S",CPSE:DSV
"NTG Nordic Transport Group A/S",CPSE:NTG
"Pkp Cargo S.A.",WSE:PKP
"Yamato Holdings Co., Ltd.",TSE:9064
"SG Holdings Co.,Ltd.",TSE:9143
"Nippon Express Holdings, Inc.",TSE:9147
"Mitsubishi Logistics Corporation",TSE:9301
"KLN Logistics Group Limited",SEHK:636
"Sinotrans Limited",SEHK:598
"Blue Dart Express Limited",NSEI:BLUEDART
"Container Corporation of India Limited",NSEI:CONCOR
"Lindsay Australia Limited",ASX:LAU
"JSL S.A.",BOVESPA:JSLG3
"Tegma Gestao Logistica S.A.",BOVESPA:TGMA3
"Grupo Traxion, S.A.B. de C.V.",BMV:TRAXION A
"PROG Holdings, Inc.",NYSE:PRG
"Sezzle Inc.",NASDAQ:SEZL
"Pagaya Technologies Ltd.",NASDAQ:PGY
"Hays plc",LSE:HAS
"Elders Limited",ASX:ELD
"Costco Wholesale Corporation",NASDAQ:COST
"BJ's Wholesale Club Holdings, Inc.",NYSE:BJ
"PriceSmart, Inc.",NASDAQ:PSMT
"Planet Fitness, Inc.",NYSE:PLNT
"Life Time Group Holdings, Inc.",NYSE:LTH
"Trupanion, Inc.",NASDAQ:TRUP
"Frontdoor, Inc.",NASDAQ:FTDR
"ADT Inc.",NYSE:ADT
"Arlo Technologies, Inc.",NYSE:ARLO
"FuboTV Inc.",NYSE:FUBO
"CuriosityStream Inc.",NASDAQ:CURI
"Rollins, Inc.",NYSE:ROL
"Peloton Interactive, Inc.",NASDAQ:PTON
"Basic-Fit N.V.",ENXTAM:BFIT
"The Gym Group plc",LSE:GYM
"Pets at Home Group Plc",LSE:PETS
"Verisure plc",OM:VSURE
"U-NEXT HOLDINGS Co.,Ltd.",TSE:9418
"CURVES HOLDINGS Co., Ltd.",TSE:7085
"Viva Leisure Limited",ASX:VVA
"Aussie Broadband Limited",ASX:ABB
"Matrimony.com Limited",NSEI:MATRIMONY
"Repay Holdings Corporation",NASDAQ:RPAY
"Priority Technology Holdings, Inc.",NASDAQ:PRTH
"Usio, Inc.",NASDAQ:USIO
"Phreesia, Inc.",NYSE:PHR
"WEX Inc.",NYSE:WEX
"Cass Information Systems, Inc.",NASDAQ:CASS
"Nayax Ltd.",NASDAQ:NYAX
"Worldline SA",ENXTPA:WLN
"Digital Garage, Inc.",TSE:4819
"BASE,Inc.",TSE:4477
"AvenuesAI Limited",NSEI:CCAVENUE
"Zaggle Prepaid Ocean Services Limited",NSEI:ZAGGLE
"Fawry for Banking Technology and Electronic Payments",CASE:FWRY
