# CAPITAL IQ TPV BLOCK, transcribed 31-Aug-2026 from Daniil's screen. USD millions.
# Method he stated: TPV for the last reported year, converted at the average FX for that period,
# then grown at the same rate as revenue IN LOCAL CURRENCY.
# rev_lcy_cy0..cy3 are carried so the growth applied can be checked rather than trusted.
company_name,exchange_ticker,market_cap_musd,aggregate_value_musd,tpv_cy0,tpv_cy1,tpv_cy2,tpv_ntm,rev_cy1,rev_cy2,rev_ntm,gross_profit_musd,av_ntm_tpv_pct,av_ntm_rev_x,rev_lcy_cy0,rev_lcy_cy1,rev_lcy_cy2,rev_lcy_cy3
"PayPal Holdings, Inc.",NASDAQ:PYPL,52654,55426,1793979,1877151.48,1958144.58,1928854,34710,36208,35666,16028,2.9,1.6,33172,34710,36208,37893
"Fiserv, Inc.",NASDAQ:FISV,27960,54358,4600000,4249690,4414676,4355010,13679,20339,20064,11647,1.2,2.7,10677,13679,20339,20978
The Western Union Company,NYSE:WU,2277,4054,107400,109467,115658,113419,4129,4362,4278,1443,3.6,0.9,4051,4129,4362,4480
"Shift4 Payments, Inc.",NYSE:FOUR,3785,8119,209000,255976,292638,279380,5120,5853,5588,3841,2.9,1.5,4180,5120,5853,6577
"Toast, Inc.",NYSE:TOST,21178,19465,195100,236865,280413,264664,7470,8844,8347,2317,7.4,2.3,6153,7470,8844,10383
DLocal Limited,NASDAQ:DLO,4452,3645,40816,58912,75788,69685,1578,2031,1867,607,5.2,2.0,1094,1578,2031,2499
Flywire Corporation,NASDAQ:FLYW,2377,2085,37554,45900,52954,50403,761,879,836,497,4.1,2.5,623,761,879,1011
"Euronet Worldwide, Inc.",NASDAQ:EEFT,2621,3259,77600,81799,85833,84374,4474,4694,4615,1910,3.9,0.7,4244,4474,4694,
"Corpay, Inc.",NYSE:CPAY,27389,35307,258452,303398,329870,320297,5316,5780,5612,4443,11.0,6.3,4528,5316,5780,6272
Paysafe Limited,NYSE:PSFE,359,2679,167000,178036,188034,184419,1814,1916,1879,1053,1.5,1.4,1701,1814,1916,2003
Payoneer Global Inc.,NASDAQ:PAYO,2409,2149,87503,93274,102915,99429,1122,1238,1196,1025,2.2,1.8,1053,1122,1238,1388
"Remitly Global, Inc.",NASDAQ:RELY,5646,5007,74912,91019,108698,102304,1987,2373,2233,1498,4.9,2.2,1635,1987,2373,2822
"Marqeta, Inc.",NASDAQ:MQ,1703,1009,382513,430959,494361,471432,704,808,770,533,0.2,1.3,625,704,808,920
Adyen N.V.,ENXTAM:ADYEN,39578,25876,1576070,1923672,2331190,2183814,3351,4061,3804,,1.2,6.8,2352,2870,3478,4166
Wise plc,LSE:WISE,13216,8314,243500,289150,321581,309852,2901,3226,3108,2501,2.7,2.7,1792,2128,2367,2952
Nexi S.p.A.,BIT:NEXI,5771,10360,982741,571227,583871,579298,4257,4351,4317,,1.8,2.4,6273,3646,3727,3847
"Boku, Inc.",AIM:BOKU,454,213,,,,,136,158,150,149,,1.4,129,136,158,177
CAB Payments Holdings plc,LSE:CABP,285,-399,55251,418538,449591,438361,170,183,178,,-0.1,-2.2,16,125,134,153
StoneCo Ltd.,NASDAQ:STNE,2158,3845,100436,445026,469823,460856,2904,3066,3008,1326,0.8,1.3,3382,14987,15822,16573
PagSeguro Digital Ltd.,NYSE:PAGS,2376,2451,94992,246654,261790,256316,4105,4357,4266,1681,1.0,0.6,8159,21185,22485,22734
One97 Communications Limited,NSEI:PAYTM,10922,9397,269565,336134,418541,388739,1054,1312,1219,793,2.4,7.7,80844,100899,125523,151342
One MobiKwik Systems Limited,NSEI:MOBIKWIK,162,97,20625,23850,29707,27589,133,165,154,64,0.4,0.6,10983,12700,15819,
"GMO Payment Gateway, Inc.",TSE:3769,4405,3455,146256,168826,199396,188340,615,726,686,454,1.8,5.0,84695,97765,115468,134837
Tyro Payments Limited,ASX:TYR,342,273,30027,33374,33763,33623,368,372,371,182,0.8,0.7,462,513,519,558
OFX Group Limited,ASX:OFX,136,81,25390,24226,27468,26296,144,163,156,,0.3,0.5,210,201,227,
EML Payments Limited,ASX:EML,77,112,15674,22038,23055,22688,156,163,160,112,0.5,0.7,154,217,227,229
Hightech Payment Systems,CBSE:HPS,518,532,,,,,183,212,202,,,2.6,1476,1691,1958,2011
