# Generic-token down-weights for the selector's product-tag token matching. COMPUTED from the
# seven tag files; regenerate when tags change, never hand-edit.
#
# WHY. Token-level matching (0.6 per shared token) pulls false comps on generic words: "Agent
# Network" (Western Union, human money-transfer agents) shares a token with every AI-agent
# startup, "Local AI" with "Local Payment Methods". The fix is frequency, not a hand list: a
# token carried by many companies separates nothing and scores little.
#
# RULE. token_score = 0.6 * weight_factor. Tokens absent from this file (carried by 5 or fewer
# companies) keep weight_factor 1.0. Listed tokens use weight_factor = 5 / companies_carrying.
# EXACT full-tag matches (3.0 points) are NEVER down-weighted - "AI Agents" as a whole tag is a
# real category; only its loose tokens are cheap.
#
# REGENERATED 6-Sep-2026 by tools/regenerate_token_weights_6sep.py from all seven tag files
# (software, ecommerce, fintech, logistics-services, lending, private, private-consumer). The
# previous version dated from 24-Aug-2026 and five files; 193 words that had become generic since
# then were carrying full weight.
token,companies_carrying,distinct_tags_containing,weight_factor
management,150,144,0.03
software,98,98,0.05
network,95,77,0.05
consumer,92,41,0.05
payments,88,74,0.06
credit,87,68,0.06
digital,80,48,0.06
marketplace,75,51,0.07
online,74,38,0.07
lending,73,61,0.07
ai,69,65,0.07
commerce,67,31,0.07
retail,66,46,0.08
subscription,64,39,0.08
data,61,61,0.08
bank,59,45,0.08
platform,56,44,0.09
banking,53,35,0.09
loans,52,47,0.1
e,50,23,0.1
finance,50,47,0.1
to,50,32,0.1
automation,47,37,0.11
payment,47,29,0.11
card,45,33,0.11
business,44,37,0.11
brand,43,31,0.12
merchant,42,20,0.12
cloud,41,31,0.12
owned,41,11,0.12
services,41,40,0.12
logistics,39,28,0.13
market,37,17,0.14
analytics,36,33,0.14
cross,36,19,0.14
direct,36,18,0.14
delivery,35,24,0.14
india,35,13,0.14
app,34,32,0.15
marketing,34,25,0.15
service,33,26,0.15
border,32,15,0.16
deposit,32,20,0.16
cards,31,19,0.16
inventory,31,9,0.16
enterprise,29,22,0.17
sale,29,14,0.17
exchange,28,26,0.18
freight,28,26,0.18
home,28,28,0.18
real,28,20,0.18
security,28,26,0.18
listings,27,9,0.19
loan,27,22,0.19
point,27,12,0.19
b2b,26,19,0.19
funded,26,15,0.19
media,26,14,0.19
processing,26,11,0.19
pay,25,13,0.2
personal,25,13,0.2
auto,24,16,0.21
global,24,21,0.21
party,24,9,0.21
third,24,8,0.21
us,24,22,0.21
chain,23,21,0.22
content,23,22,0.22
corporate,23,13,0.22
distribution,23,21,0.22
insurance,23,26,0.22
mobile,23,15,0.22
agent,22,21,0.23
estate,22,18,0.23
model,22,19,0.23
sales,22,18,0.23
small,22,21,0.23
smb,22,16,0.23
own,21,17,0.24
supply,21,18,0.24
wholesale,21,9,0.24
api,20,16,0.25
based,20,17,0.25
commercial,20,19,0.25
healthcare,20,18,0.25
infrastructure,20,13,0.25
multi,20,16,0.25
property,20,13,0.25
web,20,13,0.25
account,19,10,0.26
asset,19,15,0.26
embedded,19,13,0.26
financial,19,15,0.26
fleet,19,22,0.26
in,19,14,0.26
acquiring,18,5,0.28
buy,18,3,0.28
car,18,15,0.28
clearing,18,1,0.28
customer,18,11,0.28
japan,18,20,0.28
parcel,18,15,0.28
search,18,18,0.28
sellers,18,3,0.28
a,17,11,0.29
european,17,17,0.29
grocery,17,9,0.29
later,17,3,0.29
local,17,7,0.29
portfolio,17,15,0.29
trading,17,21,0.29
vehicle,17,15,0.29
wallet,17,7,0.29
access,16,15,0.31
capital,16,11,0.31
checkout,16,10,0.31
design,16,17,0.31
equity,16,6,0.31
financing,16,13,0.31
generation,16,12,0.31
intelligence,16,12,0.31
issuing,16,9,0.31
now,16,2,0.31
residential,16,8,0.31
risk,16,15,0.31
trade,16,8,0.31
travel,16,20,0.31
uk,16,14,0.31
virtual,16,13,0.31
advertising,15,9,0.33
china,15,10,0.33
compliance,15,16,0.33
email,15,9,0.33
fulfilment,15,9,0.33
gateway,15,7,0.33
identity,15,13,0.33
licensing,15,9,0.33
managed,15,10,0.33
mortgage,15,15,0.33
non,15,14,0.33
origination,15,8,0.33
payroll,15,9,0.33
receivables,15,11,0.33
restaurant,15,13,0.33
system,15,10,0.33
time,15,11,0.33
warehouse,15,8,0.33
billing,14,12,0.36
booking,14,12,0.36
cash,14,14,0.36
employer,14,9,0.36
engagement,14,8,0.36
food,14,7,0.36
health,14,16,0.36
invoice,14,12,0.36
markets,14,11,0.36
on,14,10,0.36
private,14,10,0.36
research,14,16,0.36
revenue,14,10,0.36
saas,14,14,0.36
sme,14,9,0.36
tools,14,11,0.36
accounts,13,9,0.38
agents,13,8,0.38
apparel,13,9,0.38
builder,13,11,0.38
core,13,6,0.38
crypto,13,15,0.38
dealer,13,12,0.38
derivatives,13,2,0.38
developer,13,9,0.38
development,13,13,0.38
document,13,10,0.38
expense,13,6,0.38
leasing,13,19,0.38
membership,13,6,0.38
purchase,13,10,0.38
recurring,13,8,0.38
social,13,11,0.38
training,13,12,0.38
video,13,11,0.38
america,12,8,0.42
as,12,6,0.42
australia,12,8,0.42
brokerage,12,9,0.42
care,12,14,0.42
contact,12,7,0.42
demand,12,6,0.42
deposits,12,7,0.42
discovery,12,8,0.42
fashion,12,9,0.42
fraud,12,5,0.42
job,12,14,0.42
matching,12,13,0.42
performance,12,7,0.42
post,12,6,0.42
product,12,7,0.42
protection,12,9,0.42
public,12,12,0.42
servicing,12,7,0.42
stores,12,4,0.42
streaming,12,11,0.42
tracking,12,9,0.42
underwriting,12,7,0.42
administration,11,9,0.45
bill,11,10,0.45
contract,11,8,0.45
detection,11,9,0.45
engine,11,16,0.45
europe,11,6,0.45
fintech,11,10,0.45
free,11,11,0.45
government,11,11,0.45
hotel,11,4,0.45
monitoring,11,12,0.45
spend,11,4,0.45
transfer,11,3,0.45
used,11,7,0.45
voice,11,8,0.45
warehousing,11,5,0.45
acquirer,10,1,0.5
ad,10,10,0.5
ap,10,5,0.5
branch,10,8,0.5
brazil,10,9,0.5
collection,10,7,0.5
currency,10,5,0.5
custody,10,3,0.5
debt,10,14,0.5
employee,10,10,0.5
fitness,10,10,0.5
funding,10,10,0.5
hardware,10,13,0.5
instant,10,5,0.5
latin,10,5,0.5
neobank,10,3,0.5
partner,10,9,0.5
planning,10,8,0.5
premium,10,10,0.5
products,10,9,0.5
quick,10,1,0.5
serial,10,1,0.5
store,10,8,0.5
accounting,9,9,0.56
air,9,8,0.56
assistant,9,6,0.56
bnpl,9,7,0.56
carrier,9,10,0.56
code,9,7,0.56
collaboration,9,7,0.56
courier,9,2,0.56
database,9,9,0.56
debit,9,6,0.56
emerging,9,6,0.56
endpoint,9,4,0.56
energy,9,9,0.56
fee,9,6,0.56
instalment,9,8,0.56
institutional,9,7,0.56
interchange,9,6,0.56
investment,9,6,0.56
listed,9,9,0.56
money,9,6,0.56
operations,9,8,0.56
partnerships,9,8,0.56
payouts,9,4,0.56
pos,9,5,0.56
prepaid,9,7,0.56
prime,9,9,0.56
solutions,9,9,0.56
transportation,9,6,0.56
trust,9,5,0.56
workforce,9,8,0.56
application,8,7,0.62
auction,8,4,0.62
center,8,4,0.62
claims,8,7,0.62
conversational,8,3,0.62
creator,8,6,0.62
crm,8,4,0.62
dark,8,1,0.62
erp,8,4,0.62
forwarding,8,4,0.62
hris,8,1,0.62
integration,8,8,0.62
it,8,5,0.62
learning,8,15,0.62
live,8,7,0.62
llm,8,3,0.62
low,8,5,0.62
plus,8,7,0.62
portal,8,2,0.62
prevention,8,3,0.62
professional,8,8,0.62
recruitment,8,7,0.62
resale,8,5,0.62
secured,8,6,0.62
self,8,8,0.62
seller,8,8,0.62
shopping,8,6,0.62
smart,8,7,0.62
tax,8,11,0.62
technology,8,9,0.62
transport,8,8,0.62
trucking,8,7,0.62
vertical,8,5,0.62
wealth,8,3,0.62
zero,8,4,0.62
authentication,7,4,0.71
backed,7,6,0.71
benefits,7,7,0.71
broker,7,9,0.71
cad,7,3,0.71
channel,7,6,0.71
cold,7,7,0.71
company,7,5,0.71
contracts,7,7,0.71
desktop,7,4,0.71
ecommerce,7,6,0.71
ecosystem,7,4,0.71
